Epoch,RoundRobin,MFU,TemPo,Alternation,Greedy
0,8,8,8,8,8
1,8,8,8,8,8
2,8,8,8,8,8
3,8,8,8,8,8
4,8,8,8,8,8
5,8,8,8,8,8
6,8,8,8,8,8
7,8,8,8,8,8
8,8,8,8,8,8
9,8,8,8,8,8
10,8,8,8,8,8
11,8,8,8,8,8
12,8,8,8,8,8
13,8,8,8,8,8
14,8,8,8,8,8
15,8,8,8,8,8
16,8,8,8,8,8
17,8,8,8,8,8
18,8,8,8,8,8
19,8,8,8,8,8
20,8,8,8,8,8
21,8,8,8,8,8
22,8,8,8,8,8
23,8,8,8,8,8
24,8,8,8,8,8
25,8,8,8,8,8
26,8,8,8,8,8
27,8,8,8,8,8
28,8,8,8,8,8
29,8,8,8,8,8
30,8,8,8,8,8
31,8,8,8,8,8
32,8,8,8,8,8
33,8,8,8,8,8
34,8,8,8,8,8
35,8,8,8,8,8
36,8,8,8,8,8
37,8,8,8,8,8
38,8,8,8,8,8
39,8,8,8,8,8
40,8,7,7,8,8
41,8,6,6,8,6
42,8,6,6,8,6
43,8,6,6,8,6
44,8,6,6,8,6
45,8,6,6,8,6
46,8,6,6,8,6
47,8,6,6,8,6
48,8,6,6,8,6
49,8,6,6,8,6
50,8,6,6,8,6
51,8,6,6,8,5
52,8,6,6,8,5
53,8,5,5,8,5
54,8,5,5,8,5
55,8,5,5,8,5
56,8,5,5,8,5
57,8,5,5,8,5
58,8,5,5,8,5
59,8,5,5,8,5
60,8,5,5,8,5
61,8,5,5,8,5
62,8,4,4,8,5
63,8,4,4,8,5
64,8,4,4,8,5
65,8,4,4,8,5
66,8,4,4,8,5
67,8,4,4,8,5
68,8,4,4,8,4
69,8,4,4,8,4
70,8,0,0,8,1
71,8,,,8,0
72,8,,,8,
73,8,,,8,
74,8,,,8,
75,8,,,8,
76,8,,,8,
77,8,,,8,
78,8,,,8,
79,8,,,8,
80,8,,,8,
81,8,,,8,
82,8,,,8,
83,8,,,8,
84,8,,,8,
85,8,,,8,
86,8,,,8,
87,8,,,8,
88,8,,,8,
89,8,,,8,
90,8,,,8,
91,8,,,8,
92,8,,,8,
93,8,,,8,
94,8,,,8,
95,8,,,8,
96,8,,,8,
97,8,,,8,
98,8,,,8,
99,8,,,8,
100,8,,,8,
101,8,,,8,
102,8,,,8,
103,8,,,8,
104,8,,,8,
105,8,,,8,
106,8,,,8,
107,8,,,8,
108,8,,,8,
109,,,,8,
110,,,,8,
111,,,,8,
112,,,,8,
113,,,,8,
114,,,,8,
