Epoch,Greedy,RoundRobin,Alternation,TemPo,MFU
0,16,16,16,16,16
1,16,16,16,16,16
2,16,16,16,16,16
3,16,16,16,16,16
4,16,16,16,16,16
5,16,16,16,16,16
6,16,16,16,16,16
7,16,16,16,16,16
8,16,16,16,16,16
9,16,16,16,16,16
10,16,16,16,16,16
11,16,16,16,16,16
12,16,16,16,16,16
13,16,16,16,16,16
14,16,16,16,16,16
15,16,16,16,16,16
16,16,16,16,16,16
17,16,16,16,16,16
18,16,16,16,16,16
19,16,16,16,16,16
20,16,16,16,16,16
21,16,16,16,16,16
22,16,16,16,16,16
23,16,16,16,16,16
24,16,16,16,16,16
25,16,16,16,16,16
26,16,16,16,16,16
27,16,16,16,16,16
28,16,16,16,16,16
29,16,16,16,16,16
30,16,16,16,16,16
31,16,16,16,16,16
32,16,16,16,16,16
33,16,16,16,16,16
34,16,16,16,16,16
35,16,16,16,16,16
36,16,16,16,16,16
37,16,16,16,16,16
38,16,16,16,16,16
39,16,16,16,16,16
40,16,16,16,16,16
41,16,16,16,16,16
42,16,16,16,16,16
43,16,16,16,16,16
44,16,16,16,16,16
45,16,16,,16,16
46,16,,,8,8
47,16,,,8,8
48,16,,,8,8
49,16,,,8,8
50,16,,,8,8
51,16,,,,
52,16,,,,
53,16,,,,
54,16,,,,
55,16,,,,
56,16,,,,
57,16,,,,
