Epoch,TemPo,Alternation,Greedy,RoundRobin,MFU
0,25.9685,26.769199999999998,25.9685,27.3474,25.9685
1,27.0967,26.911900000000003,27.0937,27.0957,27.0967
2,26.6284,27.061100000000003,26.635199999999998,26.988100000000003,26.6314
3,26.8054,26.1381,25.9294,26.544800000000002,26.805799999999998
4,25.841700000000003,26.5756,25.794600000000003,26.793,25.8467
5,26.5398,25.9604,25.7564,25.7524,26.662399999999998
6,25.6997,26.418300000000002,25.581200000000003,26.6325,25.7003
7,25.5131,25.805100000000003,25.645699999999998,25.6727,25.506500000000003
8,25.6246,26.2412,25.568399999999997,26.4996,25.622999999999998
9,25.5512,25.7656,25.500500000000002,25.602800000000002,25.5533
10,25.4882,26.184199999999997,25.4679,26.385199999999998,25.488599999999998
11,25.4598,25.669400000000003,25.3333,25.503500000000003,25.460099999999997
12,25.3256,26.099800000000002,25.373600000000003,26.2881,25.320999999999998
13,25.357,25.599400000000003,25.339100000000002,25.439100000000003,25.359
14,25.3452,25.9801,25.1956,26.204900000000002,25.345100000000002
15,25.1924,25.5287,25.9595,25.288600000000002,25.187199999999997
16,25.953899999999997,25.9493,25.919400000000003,26.134099999999997,25.956000000000003
17,25.9142,25.481900000000003,25.9437,25.3341,25.9161
18,25.939,25.8517,25.942700000000002,26.0732,25.940800000000003
19,25.938200000000002,25.3816,25.943399999999997,25.184399999999997,25.9399
20,25.9394,25.801099999999998,25.945,26.021900000000002,25.9409
21,25.9413,25.3337,25.9467,25.125799999999998,25.942700000000002
22,25.9433,25.749299999999998,25.9484,25.9773,25.9446
23,25.945300000000003,25.299500000000002,25.950000000000003,25.094099999999997,25.9465
24,25.947200000000002,25.7138,25.951500000000003,25.9399,25.948300000000003
25,25.948900000000002,25.2706,25.9529,25.067,25.9499
26,25.950499999999998,25.683500000000002,25.954099999999997,25.9077,25.951500000000003
27,25.951999999999998,25.245800000000003,25.9553,25.0435,25.9529
28,25.953400000000002,25.657600000000002,25.956400000000002,25.880499999999998,25.9542
29,25.9546,25.2247,25.957500000000003,25.023699999999998,25.955399999999997
30,25.955800000000004,25.6355,25.958399999999997,25.856699999999996,25.9565
31,25.957,25.2066,25.9593,25.006700000000002,25.9576
32,25.958,25.6167,25.9602,25.836599999999997,25.958599999999997
33,25.959000000000003,25.191000000000003,25.961,24.9921,25.9595
34,25.959899999999998,25.6006,25.9617,25.819499999999998,25.9604
35,25.9608,25.177999999999997,25.962400000000002,24.9797,25.961199999999998
36,25.961599999999997,25.5869,25.963099999999997,25.805,25.962000000000003
37,25.962400000000002,25.166200000000003,25.963700000000003,24.969499999999996,25.9628
38,25.963099999999997,25.575200000000002,25.964399999999998,25.792900000000003,25.963500000000003
39,25.9638,25.1573,25.9649,24.9604,25.964100000000002
40,25.9645,25.5653,25.9655,25.7817,25.964799999999997
41,25.9651,25.149299999999997,25.966,24.953000000000003,25.965400000000002
42,25.9657,25.5567,25.966500000000003,25.7727,25.966
43,25.966299999999997,25.1423,25.967,24.9465,25.966500000000003
44,25.9668,25.5494,25.9675,25.765099999999997,25.967
45,25.967399999999998,,25.968000000000004,24.9411,25.967599999999997
46,16.6532,,25.968400000000003,,16.6535
47,16.6535,,25.9688,,16.653799999999997
48,16.6344,,25.9692,,16.634700000000002
49,16.6175,,25.969700000000003,,16.617800000000003
50,16.6021,,25.97,,16.6023
51,,,25.970399999999998,,
52,,,25.970799999999997,,
53,,,25.9711,,
54,,,25.9715,,
55,,,25.9718,,
56,,,25.9722,,
57,,,25.972499999999997,,
