                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     | Core 16     | Core 17     | Core 18     | Core 19     | Core 20     | Core 21     | Core 22     | Core 23     | Core 24     | Core 25     | Core 26     | Core 27     | Core 28     | Core 29     | Core 30     | Core 31     | Core 32     | Core 33     | Core 34     | Core 35     | Core 36     | Core 37     | Core 38     | Core 39     | Core 40     | Core 41     | Core 42     | Core 43     | Core 44     | Core 45     | Core 46     | Core 47     | Core 48     | Core 49     | Core 50     | Core 51     | Core 52     | Core 53     | Core 54     | Core 55     | Core 56     | Core 57     | Core 58     | Core 59     | Core 60     | Core 61     | Core 62     | Core 63    
  Instructions                       |   139649832 |    83924171 |   137701142 |   137205450 |   138074085 |   138078193 |   137338600 |   137835930 |   138208058 |   138210714 |   137337976 |   137833007 |   138207560 |   138210832 |   137336522 |   137835739 |   138208207 |   138211481 |   137338450 |   137835785 |   138207134 |   138209835 |   137338143 |   137834977 |   138206948 |   138209583 |   137337702 |   137836836 |   138206199 |   138211950 |   137346582 |   137846833 |   138204352 |  1072028669 |  1167690475 |  1156573836 |  1003434970 |  1021435903 |  1046115307 |  1082074936 |  1012606793 |   991395981 |  1113117765 |  1033427649 |  1008645121 |  1038492442 |  1000831926 |  1055829841 |   983444221 |  1052326028 |  1115119219 |   993830750 |  1023993243 |   994522133 |  1100397351 |  1020669949 |   966572254 |  1063645271 |  1082354887 |  1031020875 |  1030757242 |  1015358316 |   993126838 |  1070270961
  Cycles                             |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560 |  3839290560
  IPC                                |        0.04 |        0.02 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.28 |        0.30 |        0.30 |        0.26 |        0.27 |        0.27 |        0.28 |        0.26 |        0.26 |        0.29 |        0.27 |        0.26 |        0.27 |        0.26 |        0.28 |        0.26 |        0.27 |        0.29 |        0.26 |        0.27 |        0.26 |        0.29 |        0.27 |        0.25 |        0.28 |        0.28 |        0.27 |        0.27 |        0.26 |        0.26 |        0.28
  Time (ns)                          |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600 |  1066469600
  Idle time (ns)                     |   295151639 |   931707001 |   296756534 |   297406177 |   286339869 |   285415170 |   287573542 |   286983711 |   287703344 |   284776465 |   288730354 |   286381578 |   287217430 |   285667451 |   287093687 |   286165689 |   286551862 |   284511168 |   288531271 |   287304440 |   286798989 |   285618206 |   287582453 |   286036520 |   287024664 |   286033110 |   287602833 |   287195157 |   287155186 |   284775289 |   287930480 |   285684196 |   384451688 |   123565418 |   198449071 |   200042829 |   279148204 |   265579481 |   283106035 |   266859479 |   276720021 |   256232846 |   266631065 |   276960283 |   282343498 |   291041310 |   269828298 |   294574840 |   284066629 |   263476779 |   275405726 |   256925234 |   271627783 |   261476416 |   267031359 |   274170557 |   264365845 |   254561733 |   283027388 |   264858552 |   264737861 |   279638877 |   275719627 |   277392125
  Idle time (%)                      |       27.7% |       87.4% |       27.8% |       27.9% |       26.8% |       26.8% |       27.0% |       26.9% |       27.0% |       26.7% |       27.1% |       26.9% |       26.9% |       26.8% |       26.9% |       26.8% |       26.9% |       26.7% |       27.1% |       26.9% |       26.9% |       26.8% |       27.0% |       26.8% |       26.9% |       26.8% |       27.0% |       26.9% |       26.9% |       26.7% |       27.0% |       26.8% |       36.0% |       11.6% |       18.6% |       18.8% |       26.2% |       24.9% |       26.5% |       25.0% |       25.9% |       24.0% |       25.0% |       26.0% |       26.5% |       27.3% |       25.3% |       27.6% |       26.6% |       24.7% |       25.8% |       24.1% |       25.5% |       24.5% |       25.0% |       25.7% |       24.8% |       23.9% |       26.5% |       24.8% |       24.8% |       26.2% |       25.9% |       26.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |     6702428 |     8033748 |     6413411 |     6333107 |     6469559 |     6465328 |     6361302 |     6441426 |     6497520 |     6492818 |     6361147 |     6440651 |     6497321 |     6492628 |     6361060 |     6441215 |     6497499 |     6493008 |     6361239 |     6441118 |     6497390 |     6492511 |     6361339 |     6440868 |     6497243 |     6492697 |     6361164 |     6441097 |     6497307 |     6492897 |     6343562 |     6423852 |     6477671 |   101299534 |   110216981 |   109355238 |    94805777 |    96393949 |    99165701 |   102406859 |    95724835 |    93848453 |   105169222 |    97822823 |    95576974 |    98234184 |    94711717 |    99880056 |    92931989 |    99377977 |   105275323 |    94069643 |    96903021 |    94194386 |   104211399 |    96388139 |    91560057 |   100437994 |   102226090 |    97648894 |    97502429 |    96081789 |    93867601 |   101202236
  num incorrect                      |       20830 |      101458 |       10848 |       11800 |       11276 |       12192 |       12528 |       11389 |       11746 |       13051 |       12646 |       11636 |       11724 |       13194 |       12485 |       11452 |       11837 |       13017 |       12602 |       11563 |       11733 |       13089 |       12522 |       11535 |       11825 |       13015 |       12552 |       11696 |       11692 |       13165 |       11605 |       10718 |       11373 |      121368 |      117312 |      125088 |      102675 |      108276 |      121214 |      115716 |       95066 |      107530 |      112378 |      117987 |      108796 |      115243 |      102600 |      105968 |      108178 |      109120 |      101360 |      117043 |      108621 |      110148 |      123431 |      105554 |      105024 |       96929 |      104163 |      114708 |      110907 |      108317 |      102438 |      105761
  misprediction rate                 |       0.31% |       1.25% |       0.17% |       0.19% |       0.17% |       0.19% |       0.20% |       0.18% |       0.18% |       0.20% |       0.20% |       0.18% |       0.18% |       0.20% |       0.20% |       0.18% |       0.18% |       0.20% |       0.20% |       0.18% |       0.18% |       0.20% |       0.20% |       0.18% |       0.18% |       0.20% |       0.20% |       0.18% |       0.18% |       0.20% |       0.18% |       0.17% |       0.18% |       0.12% |       0.11% |       0.11% |       0.11% |       0.11% |       0.12% |       0.11% |       0.10% |       0.11% |       0.11% |       0.12% |       0.11% |       0.12% |       0.11% |       0.11% |       0.12% |       0.11% |       0.10% |       0.12% |       0.11% |       0.12% |       0.12% |       0.11% |       0.11% |       0.10% |       0.10% |       0.12% |       0.11% |       0.11% |       0.11% |       0.10%
